"Issue Type";"Issue Key";"Summary";"Description"
"Story";"SIM-01";"Simular adelanto individual y múltiple";"Como usuario Proveedor / operador autorizado
quiero simular el adelanto de una o varias facturas Habilitadas
para conocer montos estimados y confirmar una solicitud de préstamo

Valor de negocio: Transparencia financiera antes de comprometer límite y generar solicitud al CORE.

Escenarios fuente:
-Simular múltiples misma fecha de pago → 1 cuota si mismo EGP-Proveedor-moneda
-Simular múltiples fechas distintas → n cuotas si mismo EGP-Proveedor-moneda
-Simular individual → 1 cuota
-Validación límite crédito (grisar las que exceden)
-Confirmación freeza límite
-Disclaimer valores estimativos

Criterios de aceptación:
1. [Feliz] Solo facturas Habilitadas seleccionables para Simular; si mezcla EGP/Proveedor/moneda distinta → MSG-22: ""Para simular múltiples facturas deben ser del mismo EGP, Proveedor y moneda.""
2. [Feliz] Modal ""Simulación de Adelanto"" con cálculos; siempre MSG-23: ""Los valores simulados son estimativos y pueden variar al confirmar la operación.""
3. [Validación] Facturas que exceden límite disponible se grisán/bloquean (RN-07); MSG-24: ""El monto supera el límite de crédito disponible del EGP.""
4. [Feliz] Misma fecha de pago → préstamo 1 cuota; fechas distintas → n cuotas (S-06).
5. [Feliz] Al confirmar simulación se freeza el límite (SUP-07) y se avanza a generación (SIM-03); MSG-25: ""Simulación confirmada. El límite crediticio fue reservado.""
6. [Alternativo] Cancelar no freeza ni genera solicitud.

Escenarios BDD (Gherkin):
Característica: Simulación de adelanto
  Escenario: Múltiple misma moneda y EGP-Proveedor
    Dado 2 facturas Habilitadas mismo EGP-Proveedor-moneda y distinta fecha de pago
    Cuando pulso Simular
    Entonces el modal muestra cálculo unificado en n cuotas
    Y veo el mensaje MSG-23: ""Los valores simulados son estimativos y pueden variar al confirmar la operación.""

  Escenario: Exceso de límite
    Dado facturas cuyo monto supera el disponible
    Cuando intento incluirlas en la simulación
    Entonces quedan bloqueadas/grisadas
    Y veo el mensaje MSG-24: ""El monto supera el límite de crédito disponible del EGP.""

Fuera de alcance:
- Aprobación EGP posterior (SIM-05)
- Escaneo

Notas / preguntas abiertas:
—

Chequeo INVEST: I✅ N✅ V✅ E✅ S⚠️ T✅"
"Story";"SIM-05";"Aprobar o rechazar simulación de adelanto (EGP)";"Como aprobador EGP
quiero aprobar o rechazar la solicitud de adelanto generada tras la simulación del Proveedor
para autorizar el desembolso o devolver la operación

Valor de negocio: Segundo control EGP sobre el crédito solicitado (paso 2 de S-04), distinto de CON-05.

Escenarios fuente:
-Escenario de Aprobación del adelanto por parte del EGP para avanzar con el desembolso solicitado por el usuario Proveedor
-Escenario de Rechazo del adelanto por parte del EGP, con o sin motivo

Criterios de aceptación:
1. [Feliz] El EGP ve la solicitud pendiente con datos de simulación bloqueados.
2. [Feliz] Aprobar → avanza a Pendiente de Desembolso / integración CORE según flujo; MSG-26: ""Adelanto aprobado. Se inicia el proceso de desembolso.""
3. [Feliz] Rechazar con motivo opcional (S-08) → libera freeze de límite; MSG-27: ""Adelanto rechazado.""
4. [Error] Fallo → MSG-16: ""No pudimos registrar la decisión del EGP. Intentá nuevamente.""

Escenarios BDD (Gherkin):
Característica: Decisión EGP sobre adelanto
  Escenario: Aprobación de adelanto
    Dado un adelanto pendiente de decisión EGP
    Cuando el aprobador confirma Aprobar
    Entonces veo el mensaje MSG-26: ""Adelanto aprobado. Se inicia el proceso de desembolso.""
    Y la factura pasa a Pendiente de Desembolso

  Escenario: Rechazo libera freeze
    Dado un adelanto con límite freezado
    Cuando el EGP rechaza
    Entonces el freeze se libera
    Y veo el mensaje MSG-27: ""Adelanto rechazado.""

Fuera de alcance:
- CON-05 (aprobación de factura, no del adelanto)

Notas / preguntas abiertas:
—

Chequeo INVEST: I✅ N✅ V✅ E✅ S✅ T✅"
"Task";"FAC-03";"HT · GET obtenerInfoEnte (reuso MAGIA-120/122) para validar entes";"Objetivo técnico: Consumir API existente MAGIA-120/122 para validar existencia y estado activo de EGP/Proveedor en carga de facturas (no reimplementar).

Criterios de aceptación:
1. BFF/BE expone o reutiliza GET info ente usado por FAC-01/FAC-02.
2. Respuesta incluye existencia y estado activo/inactivo.
3. Errores de dependencia se mapean a 502/503 sin inventar ente.

Escenarios BDD (Gherkin):
Característica: obtenerInfoEnte para carga
  Escenario: Ente activo
    Dado un RUC de EGP activo en MAGIA
    Cuando consulto obtenerInfoEnte
    Entonces recibo 200 con estado activo

Errores esperados:
| Código HTTP | Código negocio | Cuándo |
| 404 | ENTE_NOT_FOUND | Ente inexistente |
| 409 | ENTE_INACTIVE | Ente inactivo |
| 502 | UPSTREAM_ERROR | Falla MAGIA |

Notas / preguntas abiertas:
- Ya desarrollado (Excel); cablear consumo Confirming."
"Task";"FAC-05";"HT · POST cargarFactura";"Objetivo técnico: Persistencia de factura(s) con validaciones de negocio y estado inicial Pendiente.

Criterios de aceptación:
1. POST crea factura con campos de carga; estado inicial Pendiente (RN-02).
2. Valida entes activos antes de persistir.
3. 201/200 OK; 400 validación; 409 conflicto (duplicado nro+timbrado según regla).
4. Emite evento/hook para FAC-06 solo en OK (S-05).

Escenarios BDD (Gherkin):
Característica: POST cargarFactura
  Escenario: Alta OK
    Dado un payload válido con entes activos
    Cuando invoco POST /cargarFactura
    Entonces respondo éxito y la factura queda Pendiente

Errores esperados:
| Código HTTP | Código negocio | Cuándo |
| 400 | VALIDATION_ERROR | Campos inválidos |
| 409 | ENTE_INACTIVE | Ente no activo |
| 500 | UNEXPECTED | Error interno |

Notas / preguntas abiertas:
—"
"Task";"FAC-06";"HT · POST notificaciónNuevaFactura";"Objetivo técnico: Notificar al EGP el pedido/alta de carga de factura solo cuando FAC-05 fue OK (S-05). Key propuesto (Excel duplicaba FAC-05).

Criterios de aceptación:
1. Si carga OK → envía notificación al EGP.
2. Si carga ERROR → no envía notificación.
3. Fallo de notificación no revierte la factura ya creada; se registra para reintento (definir política en DoD).

Escenarios BDD (Gherkin):
Característica: Notificación nueva factura
  Escenario: Notifica solo en éxito
    Dado POST cargarFactura OK
    Cuando corre el flujo de notificación
    Entonces se envía aviso al EGP

  Escenario: No notifica en error
    Dado POST cargarFactura con error
    Cuando termina el flujo
    Entonces no se envía notificación

Errores esperados:
| Código HTTP | Código negocio | Cuándo |
| 502 | NOTIFY_FAILED | Canal de notificación caído |

Notas / preguntas abiertas:
- Renombrado de 2ª fila FAC-05 → FAC-06 (SUP-10)."
"Task";"CON-03";"HT · GET grillafacturas";"Objetivo técnico: Proveer a FE el listado de facturas del EGP/Proveedor (o visión Banco) con filtros y proyección por pestaña.

Criterios de aceptación:
1. GET retorna facturas según ente/rol y filtros (buscar, fechas, estado).
2. Incluye campos de columnas de grilla POC.
3. No retorna facturas en baja lógica como operables (RN-06).

Escenarios BDD (Gherkin):
Característica: GET grillafacturas
  Escenario: Listado por EGP
    Dado un usuario EGP autenticado
    Cuando consulto GET /grillafacturas
    Entonces recibo solo facturas de su dominio

Errores esperados:
| Código HTTP | Código negocio | Cuándo |
| 401 | UNAUTHORIZED | Sin sesión |
| 403 | FORBIDDEN | Sin permiso |

Notas / preguntas abiertas:
—"
"Task";"CON-06";"HT · PATCH actualizarfactura";"Objetivo técnico: Actualizar factura (baja lógica, fecha de pago, cambios de estado manuales orquestados).

Criterios de aceptación:
1. PATCH soporta: baja lógica, fecha de pago, transición de estado validada por máquina (CON-09 en BE).
2. Rechaza transiciones inválidas con 409.
3. Usado por CON-12, CON-04, CON-11, CON-05.

Escenarios BDD (Gherkin):
Característica: PATCH actualizarfactura
  Escenario: Actualizar fecha de pago
    Dado una factura existente
    Cuando envío PATCH con nueva fechaPago
    Entonces persiste y recalcula elegibilidad si aplica

Errores esperados:
| Código HTTP | Código negocio | Cuándo |
| 409 | INVALID_TRANSITION | Estado no permite el cambio |
| 404 | NOT_FOUND | Factura inexistente |

Notas / preguntas abiertas:
- Baja = lógica (SUP-04)."
"Task";"CON-08";"HT · GET obtenerInfoEnte (info crediticia) reuso MAGIA";"Objetivo técnico: Obtener datos financieros para cabecera CON-07 (límites, tasas, morosidad) vía MAGIA-120/122.

Criterios de aceptación:
1. Expone datos necesarios para EGP y Proveedor.
2. BFF calcula o recibe límite disponible = límite − freezado (RN-07) de forma consistente con SIM.

Escenarios BDD (Gherkin):
Característica: Info crediticia ente
  Escenario: Respuesta OK
    Cuando consulto info financiera del EGP
    Entonces recibo RUC, razón social, límites y tasas

Errores esperados:
| Código HTTP | Código negocio | Cuándo |
| 502 | UPSTREAM_ERROR | MAGIA no disponible |

Notas / preguntas abiertas:
- Ya desarrollado; integrar freeze local Confirming."
"Task";"CON-09";"HT · Máquina de estados de facturas (BE fuente de verdad)";"Objetivo técnico: Implementar transiciones manuales y automáticas de estado en BE (S-02).

Criterios de aceptación:
1. Nacimiento: Pendiente (automático al alta).
2. Manual: Habilitar / Bloquear (CON-11).
3. Auto: si vencimiento documental < 30 días → Vencida (no operable) (RN-03).
4. Auto/regla: si fecha pago < 30 días → NO ELEGIBLE; EGP puede corregir fecha → vuelve operable/Habilitada según reglas.
5. BFF no redefine transiciones; solo invoca BE (S-02).

Escenarios BDD (Gherkin):
Característica: Máquina de estados
  Escenario: Paso a Vencida por fecha documental
    Dado una factura con vencimiento documental a menos de 30 días
    Cuando corre la evaluación automática
    Entonces el estado es Vencida

Errores esperados:
| Código HTTP | Código negocio | Cuándo |
| 409 | INVALID_TRANSITION | Transición no permitida |

Notas / preguntas abiertas:
—"
"Task";"CON-10";"HT · GET estados de facturas / reglas de transición";"Objetivo técnico: Exponer estados y/o matriz de transiciones para que FE habilite acciones y validaciones.

Criterios de aceptación:
1. GET lista estados canónicos alineados a pestañas FV/FNV/FNO.
2. Opcionalmente retorna transiciones permitidas por estado origen.
3. Consistente con CON-09.

Escenarios BDD (Gherkin):
Característica: GET estados
  Escenario: Catálogo de estados
    Cuando consulto GET estados
    Entonces recibo el set: Pendiente, Habilitada, Bloqueada, Pendiente aprobación EGP, Pendiente de desembolso, Financiada, Vencida, NO ELEGIBLE

Errores esperados:
| Código HTTP | Código negocio | Cuándo |
| 500 | UNEXPECTED | Error interno |

Notas / preguntas abiertas:
—"
"Task";"SIM-02";"HT · GET simularAdelantoFactura";"Objetivo técnico: Calcular montos estimados y límites actualizados para el modal de simulación; validar expiración n días post aprobación EGP (S-03 default 5 días hábiles configurable).

Criterios de aceptación:
1. 200 con breakdown de cálculo + límite disponible.
2. Error de cálculo → 422/500 mapeado a FE.
3. Si excedió n días desde aprobación EGP → bloquear adelanto con código de negocio EXPIRADO.

Escenarios BDD (Gherkin):
Característica: GET simularAdelantoFactura
  Escenario: Cálculo OK
    Dado facturas Habilitadas elegibles
    Cuando consulto simulación
    Entonces recibo montos estimados y límite actualizado

  Escenario: Expiración n días
    Dado aprobación EGP hace más de n días configurados
    Cuando solicito simulación/adelanto
    Entonces respondo error de expiración

Errores esperados:
| Código HTTP | Código negocio | Cuándo |
| 422 | CALC_ERROR | No se pudo calcular |
| 409 | ADVANCE_EXPIRED | Superó n días |
| 409 | LIMIT_EXCEEDED | Supera límite |

Notas / preguntas abiertas:
- n configurable; default 5 días hábiles (S-03)."
